#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.329484E-01   0.787791E+07   0.783287E+07  -0.184369E+03  -0.184369E+03   0.239644E+07   0.784595E+07   0.787075E+07   0.784595E+07  -0.186492E+00   0.411103E+07   0.411068E+07   0.354390E+01
   0.340652E-01   0.763549E+07   0.759019E+07  -0.167187E+03  -0.167187E+03   0.225293E+07   0.760394E+07   0.762829E+07   0.760394E+07  -0.180739E+00   0.398429E+07   0.398394E+07   0.342314E+01
   0.352198E-01   0.739700E+07   0.735161E+07  -0.151534E+03  -0.151534E+03   0.211592E+07   0.736590E+07   0.738979E+07   0.736590E+07  -0.175081E+00   0.385964E+07   0.385929E+07   0.329078E+01
   0.364136E-01   0.716322E+07   0.711795E+07  -0.137294E+03  -0.137294E+03   0.198553E+07   0.713260E+07   0.715602E+07   0.713260E+07  -0.169536E+00   0.373746E+07   0.373712E+07   0.314721E+01
   0.376479E-01   0.693395E+07   0.688902E+07  -0.124341E+03  -0.124341E+03   0.186150E+07   0.690386E+07   0.692681E+07   0.690386E+07  -0.164099E+00   0.361767E+07   0.361733E+07   0.299316E+01
   0.389239E-01   0.671015E+07   0.666579E+07  -0.112579E+03  -0.112579E+03   0.174383E+07   0.668063E+07   0.670310E+07   0.668063E+07  -0.158793E+00   0.350076E+07   0.350043E+07   0.282943E+01
   0.402433E-01   0.649331E+07   0.644975E+07  -0.101926E+03  -0.101926E+03   0.163276E+07   0.646440E+07   0.648639E+07   0.646440E+07  -0.153653E+00   0.338751E+07   0.338719E+07   0.265700E+01
   0.416073E-01   0.628428E+07   0.624176E+07  -0.922931E+02  -0.922934E+02   0.152822E+07   0.625601E+07   0.627753E+07   0.625601E+07  -0.148700E+00   0.327836E+07   0.327805E+07   0.247714E+01
   0.430176E-01   0.608374E+07   0.604251E+07  -0.835952E+02  -0.835954E+02   0.143007E+07   0.605614E+07   0.607719E+07   0.605614E+07  -0.143949E+00   0.317368E+07   0.317338E+07   0.229140E+01
   0.444757E-01   0.589217E+07   0.585245E+07  -0.757503E+02  -0.757505E+02   0.133819E+07   0.586526E+07   0.588586E+07   0.586526E+07  -0.139412E+00   0.307370E+07   0.307342E+07   0.210155E+01
   0.459832E-01   0.570978E+07   0.567179E+07  -0.686800E+02  -0.686802E+02   0.125229E+07   0.568358E+07   0.570375E+07   0.568358E+07  -0.135094E+00   0.297854E+07   0.297827E+07   0.190964E+01
   0.475418E-01   0.553654E+07   0.550049E+07  -0.623093E+02  -0.623094E+02   0.117208E+07   0.551107E+07   0.553081E+07   0.551107E+07  -0.130993E+00   0.288817E+07   0.288793E+07   0.171789E+01
   0.491532E-01   0.537214E+07   0.533820E+07  -0.565675E+02  -0.565677E+02   0.109724E+07   0.534741E+07   0.536675E+07   0.534741E+07  -0.127103E+00   0.280245E+07   0.280222E+07   0.152874E+01
   0.508193E-01   0.521605E+07   0.518436E+07  -0.513890E+02  -0.513892E+02   0.102735E+07   0.519207E+07   0.521102E+07   0.519207E+07  -0.123411E+00   0.272108E+07   0.272087E+07   0.134474E+01
   0.525418E-01   0.506759E+07   0.503825E+07  -0.467132E+02  -0.467133E+02   0.962067E+06   0.504435E+07   0.506293E+07   0.504435E+07  -0.119900E+00   0.264370E+07   0.264352E+07   0.116847E+01
   0.543227E-01   0.492596E+07   0.489902E+07  -0.424854E+02  -0.424855E+02   0.900974E+06   0.490347E+07   0.492168E+07   0.490347E+07  -0.116551E+00   0.256990E+07   0.256974E+07   0.100257E+01
   0.561640E-01   0.479030E+07   0.476576E+07  -0.386566E+02  -0.386567E+02   0.843730E+06   0.476854E+07   0.478640E+07   0.476854E+07  -0.113344E+00   0.249922E+07   0.249908E+07   0.849500E+00
   0.580677E-01   0.465970E+07   0.463750E+07  -0.351829E+02  -0.351830E+02   0.789977E+06   0.463866E+07   0.465618E+07   0.463866E+07  -0.110257E+00   0.243118E+07   0.243106E+07   0.711538E+00
   0.608047E-01   0.448998E+07   0.447078E+07  -0.309243E+02  -0.309244E+02   0.721538E+06   0.446987E+07   0.448693E+07   0.446987E+07  -0.106245E+00   0.234276E+07   0.234266E+07   0.549001E+00
   0.635417E-01   0.432908E+07   0.431239E+07  -0.273079E+02  -0.273080E+02   0.660441E+06   0.430983E+07   0.432643E+07   0.430983E+07  -0.102441E+00   0.225891E+07   0.225883E+07   0.427833E+00
   0.662787E-01   0.417591E+07   0.416115E+07  -0.242150E+02  -0.242150E+02   0.605671E+06   0.415740E+07   0.417357E+07   0.415740E+07  -0.988180E-01   0.217906E+07   0.217899E+07   0.344427E+00
   0.690157E-01   0.402636E+07   0.401296E+07  -0.215356E+02  -0.215357E+02   0.555954E+06   0.400852E+07   0.402423E+07   0.400852E+07  -0.952791E-01   0.210106E+07   0.210100E+07   0.294068E+00
