#           k/h    P           
   0.297326E+01   0.492446E+01
   0.303332E+01   0.468495E+01
   0.309460E+01   0.445686E+01
   0.315712E+01   0.423965E+01
   0.322090E+01   0.403282E+01
   0.328596E+01   0.383589E+01
   0.335234E+01   0.364838E+01
   0.342006E+01   0.346987E+01
   0.348916E+01   0.329992E+01
   0.355964E+01   0.313814E+01
   0.363155E+01   0.298415E+01
   0.370491E+01   0.283757E+01
   0.377976E+01   0.269806E+01
   0.385611E+01   0.256529E+01
   0.393401E+01   0.243894E+01
   0.401348E+01   0.231870E+01
   0.409456E+01   0.220428E+01
   0.417727E+01   0.209541E+01
   0.426166E+01   0.199183E+01
   0.434775E+01   0.189328E+01
   0.443558E+01   0.179952E+01
   0.452519E+01   0.171033E+01
   0.461660E+01   0.162549E+01
   0.470987E+01   0.154478E+01
   0.480501E+01   0.146802E+01
   0.490208E+01   0.139501E+01
   0.500111E+01   0.132558E+01
   0.510214E+01   0.125955E+01
   0.520521E+01   0.119675E+01
   0.531036E+01   0.113704E+01
   0.541763E+01   0.108026E+01
   0.552708E+01   0.102628E+01
   0.563873E+01   0.974947E+00
   0.575264E+01   0.926147E+00
   0.586885E+01   0.879755E+00
   0.598741E+01   0.835652E+00
   0.610836E+01   0.793729E+00
   0.623176E+01   0.753878E+00
   0.635765E+01   0.716000E+00
   0.648609E+01   0.679999E+00
   0.661711E+01   0.645783E+00
   0.675079E+01   0.613264E+00
   0.688716E+01   0.582361E+00
   0.702629E+01   0.552993E+00
   0.716823E+01   0.525087E+00
   0.731304E+01   0.498571E+00
   0.746077E+01   0.473375E+00
   0.761149E+01   0.449437E+00
   0.776525E+01   0.426693E+00
   0.792212E+01   0.405085E+00
   0.808217E+01   0.384558E+00
   0.824543E+01   0.365058E+00
   0.841200E+01   0.346534E+00
   0.858193E+01   0.328938E+00
   0.875530E+01   0.312225E+00
   0.893217E+01   0.296351E+00
   0.911261E+01   0.281274E+00
   0.929670E+01   0.266955E+00
   0.948451E+01   0.253356E+00
   0.967610E+01   0.240441E+00
   0.987158E+01   0.228178E+00
   0.100710E+02   0.216532E+00
   0.102744E+02   0.205474E+00
   0.104820E+02   0.194974E+00
   0.106938E+02   0.185005E+00
   0.109098E+02   0.175540E+00
   0.111302E+02   0.166553E+00
   0.113550E+02   0.158022E+00
   0.115844E+02   0.149923E+00
   0.118184E+02   0.142234E+00
   0.120572E+02   0.134935E+00
   0.123007E+02   0.128007E+00
   0.125492E+02   0.121431E+00
   0.128027E+02   0.115189E+00
   0.130614E+02   0.109265E+00
   0.133252E+02   0.103642E+00
   0.135944E+02   0.983053E-01
   0.138691E+02   0.932408E-01
   0.141492E+02   0.884345E-01
   0.144351E+02   0.838735E-01
   0.147267E+02   0.795453E-01
   0.150242E+02   0.754383E-01
   0.153277E+02   0.715412E-01
   0.156373E+02   0.678434E-01
   0.159532E+02   0.643350E-01
   0.162755E+02   0.610062E-01
   0.166043E+02   0.578480E-01
   0.169397E+02   0.548517E-01
   0.172819E+02   0.520091E-01
   0.176310E+02   0.493125E-01
   0.179872E+02   0.467544E-01
   0.183505E+02   0.443277E-01
   0.187212E+02   0.420258E-01
   0.190994E+02   0.398424E-01
   0.194853E+02   0.377714E-01
   0.198789E+02   0.358070E-01
   0.202805E+02   0.339439E-01
   0.206902E+02   0.321769E-01
   0.211081E+02   0.305010E-01
   0.215346E+02   0.289116E-01
   0.219696E+02   0.274044E-01
   0.224134E+02   0.259750E-01
   0.228662E+02   0.246195E-01
   0.233281E+02   0.233342E-01
   0.237994E+02   0.221154E-01
   0.242802E+02   0.209596E-01
   0.247707E+02   0.198638E-01
   0.252710E+02   0.188248E-01
   0.257816E+02   0.178397E-01
   0.263024E+02   0.169057E-01
   0.268337E+02   0.160201E-01
   0.273758E+02   0.151806E-01
   0.279288E+02   0.143847E-01
   0.284930E+02   0.136302E-01
   0.290686E+02   0.129150E-01
   0.296558E+02   0.122369E-01
   0.302549E+02   0.115942E-01
   0.308661E+02   0.109850E-01
   0.314897E+02   0.104075E-01
   0.321258E+02   0.986009E-02
   0.327748E+02   0.934127E-02
   0.334369E+02   0.884952E-02
   0.341123E+02   0.838346E-02
   0.348014E+02   0.794175E-02
   0.355045E+02   0.752312E-02
   0.362217E+02   0.712638E-02
   0.369535E+02   0.675040E-02
   0.377000E+02   0.639410E-02
   0.384616E+02   0.605645E-02
   0.392386E+02   0.573649E-02
   0.400312E+02   0.543330E-02
   0.408399E+02   0.514601E-02
   0.416649E+02   0.487379E-02
   0.425066E+02   0.461585E-02
   0.433653E+02   0.437146E-02
   0.442413E+02   0.413990E-02
   0.451350E+02   0.392051E-02
   0.460469E+02   0.371265E-02
   0.469770E+02   0.351573E-02
   0.479261E+02   0.332917E-02
   0.488942E+02   0.315242E-02
   0.498820E+02   0.298499E-02
   0.508896E+02   0.282637E-02
   0.519177E+02   0.267612E-02
   0.529665E+02   0.253379E-02
   0.540365E+02   0.239896E-02
   0.551281E+02   0.227125E-02
   0.562417E+02   0.215029E-02
   0.573779E+02   0.203571E-02
   0.585370E+02   0.192719E-02
   0.597195E+02   0.182440E-02
   0.609260E+02   0.172705E-02
   0.621568E+02   0.163485E-02
   0.634124E+02   0.154752E-02
