#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.235702E-01   0.104586E+08   0.104225E+08  -0.493513E+03  -0.493515E+03   0.000000E+00   0.104529E+08   0.104529E+08   0.104529E+08  -0.246073E+00   0.543141E+07   0.543112E+07   0.416648E+01
   0.243692E-01   0.102115E+08   0.101742E+08  -0.450766E+03  -0.450768E+03   0.000000E+00   0.102057E+08   0.102057E+08   0.102057E+08  -0.240252E+00   0.530294E+07   0.530264E+07   0.415314E+01
   0.251952E-01   0.996241E+07   0.992384E+07  -0.411395E+03  -0.411396E+03   0.000000E+00   0.995635E+07   0.995635E+07   0.995635E+07  -0.234383E+00   0.517340E+07   0.517309E+07   0.413068E+01
   0.260491E-01   0.971161E+07   0.967186E+07  -0.375163E+03  -0.375164E+03   0.000000E+00   0.970537E+07   0.970537E+07   0.970537E+07  -0.228475E+00   0.504299E+07   0.504267E+07   0.409853E+01
   0.269321E-01   0.945958E+07   0.941872E+07  -0.341849E+03  -0.341850E+03   0.000000E+00   0.945316E+07   0.945316E+07   0.945316E+07  -0.222538E+00   0.491194E+07   0.491162E+07   0.405617E+01
   0.278450E-01   0.920682E+07   0.916491E+07  -0.311246E+03  -0.311247E+03   0.000000E+00   0.920023E+07   0.920023E+07   0.920023E+07  -0.216583E+00   0.478052E+07   0.478019E+07   0.400311E+01
   0.287888E-01   0.895385E+07   0.891099E+07  -0.283164E+03  -0.283164E+03   0.000000E+00   0.894712E+07   0.894712E+07   0.894712E+07  -0.210625E+00   0.464900E+07   0.464866E+07   0.393890E+01
   0.297646E-01   0.870128E+07   0.865758E+07  -0.257421E+03  -0.257422E+03   0.000000E+00   0.869441E+07   0.869441E+07   0.869441E+07  -0.204676E+00   0.451770E+07   0.451735E+07   0.386319E+01
   0.307734E-01   0.844975E+07   0.840532E+07  -0.233850E+03  -0.233850E+03   0.000000E+00   0.844277E+07   0.844277E+07   0.844277E+07  -0.198752E+00   0.438694E+07   0.438659E+07   0.377570E+01
   0.318165E-01   0.819994E+07   0.815493E+07  -0.212294E+03  -0.212294E+03   0.000000E+00   0.819287E+07   0.819287E+07   0.819287E+07  -0.192869E+00   0.425709E+07   0.425674E+07   0.367624E+01
   0.328949E-01   0.795258E+07   0.790715E+07  -0.192605E+03  -0.192606E+03   0.000000E+00   0.794544E+07   0.794544E+07   0.794544E+07  -0.187044E+00   0.412853E+07   0.412818E+07   0.356476E+01
   0.340099E-01   0.770843E+07   0.766275E+07  -0.174646E+03  -0.174647E+03   0.000000E+00   0.770126E+07   0.770126E+07   0.770126E+07  -0.181296E+00   0.400165E+07   0.400130E+07   0.344136E+01
   0.351627E-01   0.746828E+07   0.742254E+07  -0.158288E+03  -0.158289E+03   0.000000E+00   0.746110E+07   0.746110E+07   0.746110E+07  -0.175642E+00   0.387686E+07   0.387651E+07   0.330628E+01
   0.363545E-01   0.723292E+07   0.718733E+07  -0.143409E+03  -0.143410E+03   0.000000E+00   0.722576E+07   0.722576E+07   0.722576E+07  -0.170102E+00   0.375458E+07   0.375423E+07   0.315997E+01
   0.375868E-01   0.700202E+07   0.695680E+07  -0.129875E+03  -0.129875E+03   0.000000E+00   0.699491E+07   0.699491E+07   0.699491E+07  -0.164668E+00   0.363463E+07   0.363429E+07   0.300318E+01
   0.388608E-01   0.677675E+07   0.673213E+07  -0.117588E+03  -0.117588E+03   0.000000E+00   0.676974E+07   0.676974E+07   0.676974E+07  -0.159367E+00   0.351763E+07   0.351730E+07   0.283674E+01
   0.401779E-01   0.655854E+07   0.651476E+07  -0.106461E+03  -0.106461E+03   0.000000E+00   0.655166E+07   0.655166E+07   0.655166E+07  -0.154233E+00   0.340431E+07   0.340399E+07   0.266165E+01
   0.415398E-01   0.634824E+07   0.630553E+07  -0.964002E+02  -0.964004E+02   0.000000E+00   0.634153E+07   0.634153E+07   0.634153E+07  -0.149286E+00   0.329513E+07   0.329482E+07   0.247925E+01
   0.429478E-01   0.614651E+07   0.610512E+07  -0.873170E+02  -0.873172E+02   0.000000E+00   0.614000E+07   0.614000E+07   0.614000E+07  -0.144542E+00   0.319041E+07   0.319012E+07   0.229111E+01
   0.444035E-01   0.595380E+07   0.591396E+07  -0.791249E+02  -0.791251E+02   0.000000E+00   0.594754E+07   0.594754E+07   0.594754E+07  -0.140011E+00   0.309040E+07   0.309012E+07   0.209907E+01
   0.459086E-01   0.577032E+07   0.573226E+07  -0.717416E+02  -0.717417E+02   0.000000E+00   0.576434E+07   0.576434E+07   0.576434E+07  -0.135699E+00   0.299521E+07   0.299495E+07   0.190519E+01
   0.474646E-01   0.559599E+07   0.555990E+07  -0.650883E+02  -0.650885E+02   0.000000E+00   0.559032E+07   0.559032E+07   0.559032E+07  -0.131602E+00   0.290479E+07   0.290454E+07   0.171177E+01
   0.490735E-01   0.543049E+07   0.539654E+07  -0.590911E+02  -0.590913E+02   0.000000E+00   0.542515E+07   0.542515E+07   0.542515E+07  -0.127714E+00   0.281896E+07   0.281874E+07   0.152127E+01
   0.507368E-01   0.527325E+07   0.524159E+07  -0.536813E+02  -0.536814E+02   0.000000E+00   0.526828E+07   0.526828E+07   0.526828E+07  -0.124021E+00   0.273744E+07   0.273724E+07   0.133627E+01
   0.524565E-01   0.512357E+07   0.509429E+07  -0.487956E+02  -0.487957E+02   0.000000E+00   0.511897E+07   0.511897E+07   0.511897E+07  -0.120506E+00   0.265986E+07   0.265968E+07   0.115939E+01
   0.542346E-01   0.498065E+07   0.495380E+07  -0.443771E+02  -0.443773E+02   0.000000E+00   0.497643E+07   0.497643E+07   0.497643E+07  -0.117151E+00   0.258579E+07   0.258563E+07   0.993278E+00
   0.560728E-01   0.484389E+07   0.481945E+07  -0.403770E+02  -0.403771E+02   0.000000E+00   0.484005E+07   0.484005E+07   0.484005E+07  -0.113940E+00   0.251493E+07   0.251478E+07   0.840403E+00
   0.579734E-01   0.471278E+07   0.469068E+07  -0.367523E+02  -0.367524E+02   0.000000E+00   0.470931E+07   0.470931E+07   0.470931E+07  -0.110862E+00   0.244699E+07   0.244687E+07   0.703033E+00
   0.607060E-01   0.454218E+07   0.452308E+07  -0.323069E+02  -0.323069E+02   0.000000E+00   0.453918E+07   0.453918E+07   0.453918E+07  -0.106857E+00   0.235858E+07   0.235849E+07   0.541895E+00
   0.634385E-01   0.437913E+07   0.436253E+07  -0.285233E+02  -0.285234E+02   0.000000E+00   0.437652E+07   0.437652E+07   0.437652E+07  -0.103028E+00   0.227407E+07   0.227399E+07   0.422606E+00
   0.661711E-01   0.422268E+07   0.420797E+07  -0.252806E+02  -0.252807E+02   0.000000E+00   0.422037E+07   0.422037E+07   0.422037E+07  -0.993519E-01   0.219293E+07   0.219286E+07   0.341338E+00
   0.689037E-01   0.406955E+07   0.405616E+07  -0.224704E+02  -0.224704E+02   0.000000E+00   0.406745E+07   0.406745E+07   0.406745E+07  -0.957521E-01   0.211347E+07   0.211341E+07   0.293184E+00
   0.716362E-01   0.391767E+07   0.390502E+07  -0.200131E+02  -0.200132E+02   0.000000E+00   0.391568E+07   0.391568E+07   0.391568E+07  -0.921793E-01   0.203461E+07   0.203455E+07   0.272331E+00
   0.743688E-01   0.376611E+07   0.375368E+07  -0.178509E+02  -0.178510E+02   0.000000E+00   0.376415E+07   0.376415E+07   0.376415E+07  -0.886122E-01   0.195588E+07   0.195581E+07   0.272498E+00
   0.771013E-01   0.361502E+07   0.360241E+07  -0.159414E+02  -0.159414E+02   0.000000E+00   0.361304E+07   0.361304E+07   0.361304E+07  -0.850547E-01   0.187736E+07   0.187729E+07   0.287331E+00
   0.798339E-01   0.346532E+07   0.345221E+07  -0.142525E+02  -0.142526E+02   0.000000E+00   0.346326E+07   0.346326E+07   0.346326E+07  -0.815289E-01   0.179953E+07   0.179946E+07   0.310805E+00
   0.825664E-01   0.331839E+07   0.330459E+07  -0.127591E+02  -0.127592E+02   0.000000E+00   0.331622E+07   0.331622E+07   0.331622E+07  -0.780674E-01   0.172313E+07   0.172305E+07   0.337518E+00
   0.852990E-01   0.317577E+07   0.316120E+07  -0.114403E+02  -0.114403E+02   0.000000E+00   0.317348E+07   0.317348E+07   0.317348E+07  -0.747071E-01   0.164896E+07   0.164887E+07   0.362924E+00
   0.880315E-01   0.303899E+07   0.302369E+07  -0.102779E+02  -0.102779E+02   0.000000E+00   0.303659E+07   0.303659E+07   0.303659E+07  -0.714845E-01   0.157784E+07   0.157773E+07   0.383481E+00
   0.907641E-01   0.290951E+07   0.289359E+07  -0.925585E+01  -0.925587E+01   0.000000E+00   0.290700E+07   0.290700E+07   0.290700E+07  -0.684340E-01   0.151050E+07   0.151040E+07   0.396708E+00
   0.934966E-01   0.278858E+07   0.277225E+07  -0.835976E+01  -0.835978E+01   0.000000E+00   0.278602E+07   0.278602E+07   0.278602E+07  -0.655858E-01   0.144764E+07   0.144753E+07   0.401166E+00
   0.962292E-01   0.267726E+07   0.266075E+07  -0.757636E+01  -0.757638E+01   0.000000E+00   0.267467E+07   0.267467E+07   0.267467E+07  -0.629645E-01   0.138978E+07   0.138967E+07   0.396384E+00
   0.989617E-01   0.257621E+07   0.255980E+07  -0.689315E+01  -0.689317E+01   0.000000E+00   0.257363E+07   0.257363E+07   0.257363E+07  -0.605859E-01   0.133728E+07   0.133717E+07   0.382732E+00
   0.101694E+00   0.248562E+07   0.246958E+07  -0.629808E+01  -0.629810E+01   0.000000E+00   0.248310E+07   0.248310E+07   0.248310E+07  -0.584548E-01   0.129024E+07   0.129013E+07   0.361259E+00
   0.104427E+00   0.240519E+07   0.238977E+07  -0.577953E+01  -0.577955E+01   0.000000E+00   0.240276E+07   0.240276E+07   0.240276E+07  -0.565636E-01   0.124850E+07   0.124840E+07   0.333520E+00
   0.107159E+00   0.233411E+07   0.231951E+07  -0.532644E+01  -0.532646E+01   0.000000E+00   0.233182E+07   0.233182E+07   0.233182E+07  -0.548934E-01   0.121163E+07   0.121154E+07   0.301389E+00
   0.109892E+00   0.227124E+07   0.225763E+07  -0.492859E+01  -0.492860E+01   0.000000E+00   0.226910E+07   0.226910E+07   0.226910E+07  -0.534170E-01   0.117904E+07   0.117896E+07   0.266872E+00
   0.112625E+00   0.221523E+07   0.220270E+07  -0.457682E+01  -0.457683E+01   0.000000E+00   0.221326E+07   0.221326E+07   0.221326E+07  -0.521025E-01   0.115003E+07   0.114995E+07   0.231944E+00
   0.115357E+00   0.216466E+07   0.215324E+07  -0.426317E+01  -0.426318E+01   0.000000E+00   0.216286E+07   0.216286E+07   0.216286E+07  -0.509161E-01   0.112384E+07   0.112377E+07   0.198407E+00
   0.118090E+00   0.211808E+07   0.210775E+07  -0.398084E+01  -0.398085E+01   0.000000E+00   0.211646E+07   0.211646E+07   0.211646E+07  -0.498237E-01   0.109973E+07   0.109967E+07   0.167784E+00
   0.120822E+00   0.207410E+07   0.206477E+07  -0.372404E+01  -0.372405E+01   0.000000E+00   0.207264E+07   0.207264E+07   0.207264E+07  -0.487921E-01   0.107696E+07   0.107690E+07   0.141241E+00
   0.123555E+00   0.203138E+07   0.202291E+07  -0.348793E+01  -0.348794E+01   0.000000E+00   0.203004E+07   0.203004E+07   0.203004E+07  -0.477894E-01   0.105482E+07   0.105478E+07   0.119550E+00
   0.126287E+00   0.198870E+07   0.198093E+07  -0.326859E+01  -0.326860E+01   0.000000E+00   0.198748E+07   0.198748E+07   0.198748E+07  -0.467873E-01   0.103270E+07   0.103267E+07   0.103084E+00
   0.129020E+00   0.194511E+07   0.193787E+07  -0.306305E+01  -0.306305E+01   0.000000E+00   0.194397E+07   0.194397E+07   0.194397E+07  -0.457631E-01   0.101010E+07   0.101006E+07   0.918329E-01
   0.131752E+00   0.190001E+07   0.189312E+07  -0.286925E+01  -0.286925E+01   0.000000E+00   0.189893E+07   0.189893E+07   0.189893E+07  -0.447028E-01   0.986694E+06   0.986661E+06   0.854530E-01
   0.134485E+00   0.185321E+07   0.184648E+07  -0.268600E+01  -0.268601E+01   0.000000E+00   0.185216E+07   0.185216E+07   0.185216E+07  -0.436017E-01   0.962391E+06   0.962357E+06   0.833272E-01
   0.137218E+00   0.180491E+07   0.179819E+07  -0.251281E+01  -0.251281E+01   0.000000E+00   0.180385E+07   0.180385E+07   0.180385E+07  -0.424645E-01   0.937291E+06   0.937256E+06   0.846416E-01
   0.139950E+00   0.175557E+07   0.174873E+07  -0.234956E+01  -0.234957E+01   0.000000E+00   0.175450E+07   0.175450E+07   0.175450E+07  -0.413027E-01   0.911647E+06   0.911610E+06   0.884653E-01
   0.142683E+00   0.170585E+07   0.169880E+07  -0.219634E+01  -0.219634E+01   0.000000E+00   0.170474E+07   0.170474E+07   0.170474E+07  -0.401314E-01   0.885794E+06   0.885754E+06   0.938306E-01
   0.145415E+00   0.165640E+07   0.164909E+07  -0.205320E+01  -0.205321E+01   0.000000E+00   0.165526E+07   0.165526E+07   0.165526E+07  -0.389665E-01   0.860082E+06   0.860039E+06   0.998035E-01
   0.148148E+00   0.160787E+07   0.160027E+07  -0.192012E+01  -0.192012E+01   0.000000E+00   0.160668E+07   0.160668E+07   0.160668E+07  -0.378229E-01   0.834841E+06   0.834795E+06   0.105544E+00
   0.150880E+00   0.156082E+07   0.155295E+07  -0.179695E+01  -0.179695E+01   0.000000E+00   0.155958E+07   0.155958E+07   0.155958E+07  -0.367142E-01   0.810371E+06   0.810322E+06   0.110351E+00
