#           k/h    P           
   0.121197E+00   0.454450E+04
   0.123645E+00   0.446342E+04
   0.126143E+00   0.437721E+04
   0.128691E+00   0.428253E+04
   0.131291E+00   0.417684E+04
   0.133943E+00   0.405888E+04
   0.136649E+00   0.392895E+04
   0.139409E+00   0.378877E+04
   0.142226E+00   0.364115E+04
   0.145099E+00   0.348942E+04
   0.148030E+00   0.333704E+04
   0.151020E+00   0.318739E+04
   0.154071E+00   0.304377E+04
   0.157184E+00   0.290942E+04
   0.160359E+00   0.278728E+04
   0.163598E+00   0.267951E+04
   0.166903E+00   0.258696E+04
   0.170275E+00   0.250881E+04
   0.173715E+00   0.244269E+04
   0.177224E+00   0.238526E+04
   0.180804E+00   0.233276E+04
   0.184457E+00   0.228153E+04
   0.188183E+00   0.222819E+04
   0.191985E+00   0.216987E+04
   0.195863E+00   0.210450E+04
   0.199820E+00   0.203137E+04
   0.203856E+00   0.195142E+04
   0.207974E+00   0.186708E+04
   0.212176E+00   0.178168E+04
   0.216462E+00   0.169873E+04
   0.220835E+00   0.162140E+04
   0.225296E+00   0.155209E+04
   0.229847E+00   0.149218E+04
   0.234490E+00   0.144116E+04
   0.239227E+00   0.139764E+04
   0.244060E+00   0.135861E+04
   0.248990E+00   0.132104E+04
   0.254020E+00   0.128225E+04
   0.259152E+00   0.124031E+04
   0.264387E+00   0.119462E+04
   0.269728E+00   0.114559E+04
   0.275177E+00   0.109523E+04
   0.280736E+00   0.104575E+04
   0.286407E+00   0.999612E+03
   0.292193E+00   0.958275E+03
   0.298096E+00   0.921858E+03
   0.304118E+00   0.889701E+03
   0.310261E+00   0.860217E+03
   0.316529E+00   0.831707E+03
   0.322923E+00   0.802392E+03
   0.329447E+00   0.771536E+03
   0.336102E+00   0.739594E+03
   0.342892E+00   0.707582E+03
   0.349819E+00   0.676962E+03
   0.356885E+00   0.648644E+03
   0.364095E+00   0.622992E+03
   0.371450E+00   0.599598E+03
   0.378954E+00   0.577459E+03
   0.386609E+00   0.555727E+03
   0.394419E+00   0.533749E+03
   0.402387E+00   0.511604E+03
   0.410516E+00   0.489849E+03
   0.418809E+00   0.469064E+03
   0.427269E+00   0.449747E+03
   0.435901E+00   0.431780E+03
   0.444706E+00   0.414724E+03
   0.453690E+00   0.398170E+03
   0.462855E+00   0.381802E+03
   0.472206E+00   0.365735E+03
   0.481745E+00   0.350251E+03
   0.491477E+00   0.335530E+03
   0.501405E+00   0.321654E+03
   0.511534E+00   0.308438E+03
   0.521868E+00   0.295647E+03
   0.532411E+00   0.283225E+03
   0.543166E+00   0.271193E+03
   0.554139E+00   0.259649E+03
   0.565333E+00   0.248671E+03
   0.576753E+00   0.238183E+03
   0.588404E+00   0.228091E+03
   0.600291E+00   0.218364E+03
   0.612418E+00   0.208993E+03
   0.624789E+00   0.200009E+03
   0.637411E+00   0.191424E+03
   0.650288E+00   0.183205E+03
   0.663424E+00   0.175316E+03
   0.676826E+00   0.167743E+03
   0.690499E+00   0.160476E+03
   0.704448E+00   0.153503E+03
   0.718679E+00   0.146816E+03
   0.733197E+00   0.140403E+03
   0.748009E+00   0.134255E+03
   0.763119E+00   0.128362E+03
   0.778536E+00   0.122716E+03
   0.794263E+00   0.117307E+03
   0.810308E+00   0.112127E+03
   0.826677E+00   0.107166E+03
   0.843378E+00   0.102416E+03
   0.860415E+00   0.978681E+02
   0.877797E+00   0.935142E+02
   0.895529E+00   0.893464E+02
   0.913620E+00   0.853570E+02
   0.932076E+00   0.815387E+02
   0.950906E+00   0.778844E+02
   0.970115E+00   0.743874E+02
   0.989713E+00   0.710411E+02
   0.100971E+01   0.678394E+02
   0.103010E+01   0.647763E+02
   0.105091E+01   0.618460E+02
   0.107214E+01   0.590432E+02
   0.109380E+01   0.563626E+02
   0.111590E+01   0.537992E+02
   0.113844E+01   0.513481E+02
   0.116144E+01   0.490047E+02
   0.118490E+01   0.467644E+02
   0.120884E+01   0.446230E+02
   0.123326E+01   0.425762E+02
   0.125817E+01   0.406202E+02
   0.128359E+01   0.387511E+02
   0.130952E+01   0.369651E+02
   0.133597E+01   0.352588E+02
   0.136296E+01   0.336288E+02
   0.139049E+01   0.320717E+02
   0.141858E+01   0.305845E+02
   0.144724E+01   0.291641E+02
   0.147648E+01   0.278076E+02
   0.150630E+01   0.265124E+02
   0.153673E+01   0.252756E+02
   0.156778E+01   0.240949E+02
   0.159945E+01   0.229677E+02
   0.163176E+01   0.218917E+02
   0.166472E+01   0.208647E+02
   0.169835E+01   0.198845E+02
   0.173266E+01   0.189491E+02
   0.176766E+01   0.180565E+02
   0.180337E+01   0.172047E+02
   0.183980E+01   0.163921E+02
   0.187697E+01   0.156168E+02
   0.191489E+01   0.148773E+02
   0.195357E+01   0.141718E+02
   0.199304E+01   0.134990E+02
   0.203330E+01   0.128572E+02
   0.207437E+01   0.122453E+02
   0.211628E+01   0.116617E+02
   0.215903E+01   0.111053E+02
   0.220265E+01   0.105747E+02
   0.224714E+01   0.100689E+02
   0.229254E+01   0.958674E+01
   0.233885E+01   0.912711E+01
   0.238610E+01   0.868901E+01
   0.243430E+01   0.827145E+01
   0.248348E+01   0.787350E+01
   0.253365E+01   0.749427E+01
   0.258483E+01   0.713290E+01
   0.263705E+01   0.678857E+01
   0.269032E+01   0.646050E+01
   0.274466E+01   0.614795E+01
   0.280011E+01   0.585020E+01
   0.285668E+01   0.556656E+01
   0.291439E+01   0.529639E+01
   0.297326E+01   0.503906E+01
   0.303332E+01   0.479398E+01
   0.309460E+01   0.456058E+01
   0.315712E+01   0.433832E+01
   0.322090E+01   0.412668E+01
   0.328596E+01   0.392516E+01
   0.335234E+01   0.373329E+01
   0.342006E+01   0.355062E+01
   0.348916E+01   0.337672E+01
   0.355964E+01   0.321117E+01
   0.363155E+01   0.305360E+01
   0.370491E+01   0.290361E+01
   0.377976E+01   0.276085E+01
   0.385611E+01   0.262499E+01
   0.393401E+01   0.249570E+01
   0.401348E+01   0.237266E+01
   0.409456E+01   0.225558E+01
   0.417727E+01   0.214417E+01
   0.426166E+01   0.203818E+01
   0.434775E+01   0.193734E+01
   0.443558E+01   0.184140E+01
   0.452519E+01   0.175013E+01
   0.461660E+01   0.166331E+01
   0.470987E+01   0.158073E+01
   0.480501E+01   0.150219E+01
   0.490208E+01   0.142748E+01
   0.500111E+01   0.135643E+01
   0.510214E+01   0.128886E+01
   0.520521E+01   0.122460E+01
   0.531036E+01   0.116350E+01
   0.541763E+01   0.110540E+01
   0.552708E+01   0.105016E+01
   0.563873E+01   0.997636E+00
   0.575264E+01   0.947701E+00
   0.586885E+01   0.900229E+00
   0.598741E+01   0.855100E+00
   0.610836E+01   0.812201E+00
   0.623176E+01   0.771423E+00
   0.635765E+01   0.732664E+00
   0.648609E+01   0.695825E+00
   0.661711E+01   0.660812E+00
   0.675079E+01   0.627537E+00
   0.688716E+01   0.595914E+00
   0.702629E+01   0.565863E+00
   0.716823E+01   0.537308E+00
