#           k/h    P           
   0.278567E+03   0.239034E-04
   0.284195E+03   0.225229E-04
   0.289936E+03   0.212192E-04
   0.295793E+03   0.199882E-04
   0.301768E+03   0.188260E-04
   0.307864E+03   0.177289E-04
   0.314084E+03   0.166933E-04
   0.320428E+03   0.157158E-04
   0.326902E+03   0.147934E-04
   0.333505E+03   0.139231E-04
   0.340243E+03   0.131019E-04
   0.347116E+03   0.123274E-04
   0.354128E+03   0.115968E-04
   0.361282E+03   0.109078E-04
   0.368581E+03   0.102582E-04
   0.376026E+03   0.964569E-05
   0.383623E+03   0.906834E-05
   0.391372E+03   0.852419E-05
   0.399279E+03   0.801140E-05
   0.407344E+03   0.752826E-05
   0.415573E+03   0.707313E-05
   0.423968E+03   0.664449E-05
   0.432533E+03   0.624087E-05
   0.441271E+03   0.586088E-05
   0.450185E+03   0.550321E-05
   0.459279E+03   0.516661E-05
   0.468558E+03   0.484991E-05
   0.478023E+03   0.455197E-05
   0.487680E+03   0.427174E-05
   0.497532E+03   0.400821E-05
   0.507582E+03   0.376044E-05
   0.517837E+03   0.352755E-05
   0.528297E+03   0.330869E-05
   0.538970E+03   0.310307E-05
   0.549857E+03   0.290993E-05
   0.560966E+03   0.272854E-05
   0.572298E+03   0.255823E-05
   0.583859E+03   0.239835E-05
   0.595653E+03   0.224829E-05
   0.607687E+03   0.210748E-05
   0.619962E+03   0.197536E-05
   0.632487E+03   0.185143E-05
   0.645264E+03   0.173518E-05
   0.658299E+03   0.162617E-05
   0.671597E+03   0.152396E-05
   0.685165E+03   0.142813E-05
   0.699006E+03   0.133830E-05
   0.713127E+03   0.125411E-05
   0.727533E+03   0.117521E-05
   0.742230E+03   0.110127E-05
   0.757224E+03   0.103200E-05
   0.772521E+03   0.967094E-06
   0.788127E+03   0.906290E-06
   0.804048E+03   0.849325E-06
   0.820291E+03   0.795955E-06
   0.836862E+03   0.745952E-06
   0.853768E+03   0.699103E-06
   0.871015E+03   0.655208E-06
   0.888611E+03   0.614079E-06
   0.906563E+03   0.575542E-06
   0.924875E+03   0.539432E-06
   0.943559E+03   0.505595E-06
   0.962621E+03   0.473889E-06
   0.982068E+03   0.444179E-06
   0.100191E+04   0.416338E-06
   0.102215E+04   0.390250E-06
   0.104279E+04   0.365804E-06
   0.106386E+04   0.342896E-06
   0.108535E+04   0.321430E-06
   0.110728E+04   0.301315E-06
   0.112965E+04   0.282466E-06
   0.115247E+04   0.264803E-06
   0.117575E+04   0.248251E-06
   0.119950E+04   0.232740E-06
   0.122373E+04   0.218205E-06
   0.124845E+04   0.204584E-06
   0.127367E+04   0.191819E-06
   0.129940E+04   0.179857E-06
   0.132565E+04   0.168647E-06
